CUID,RUID,SSN,FNAME,MINIT,LNAME,STNUM,STADD,APT,CITY,STATE,ZIP
1359,0,378781853,Chadwell,K,Milty,,PO Box 3399,,Claudville,VA,24076
1360,0,320663066,Brennan,N,Doria,140,Mahendra Rd,7g4,Hot Sulphur Springs,CO,80451
1361,0,711860602,Weese,N,Rodgers,184,Conkell Lane,3c5,Hull,TX,77564
1362,0,143722312,Hondo,Q,Stirling,968,Wynd Lane,0m6,Gordon,NE,69343
1363,0,730578213,Yoneko,F,Beauchaine,90,Asnat Road,1x6,Trent,SD,57065
1364,0,673148442,Baudoin,W,Meitus,850,Dachauer Lane,7r5,Salem,NH,03079
1365,0,731705071,Sadiq,E,Yoshinori,,PO Box 1432,,Capitol,MT,59319
1366,0,382127827,Thanhson,L,Arnott,228,Gloor Ave,0p7,Martins Ferry,OH,43935
1367,0,507042158,Klenk,C,Marzuki,525,Luz Street,6m4,Woodstock,NH,03293
1368,0,351310800,Mcatee,W,Drabiszczak,622,Trays Ave,4s2,Lorain,OH,44055
1369,0,562355021,Curley,,Varnell,450,Canby Road,4c8,Bethel,VT,05032
1370,0,123306865,Cronkright,M,Kurowski,813,Weidenfeller Street,5p1,Statenville,GA,31648
1371,0,560387500,Cartano,F,Thorndike,129,Samirah Ave,5s0,Atlanta,GA,31197
1372,0,434624550,Daguet,V,Rohela,233,Eiko St,7a2,Lee,FL,32059
1373,0,255162383,Leil,V,Lachine,370,Rossie Ave,5h1,Mc Clure,VA,24269
1374,0,584754687,Stallabrass,E,Rabin,915,Fumito Lane,8r4,San Juan,PR,00924
1375,0,357383682,Parrott,,Harbhajan,65,Aliyah Ln,4d5,Benjamin,TX,79505
1376,0,157421221,Darshan,,Sagisi,595,Pywell Ave,3m7,Columbus,MS,39702
1377,0,171016622,Borhan,C,Winett,482,Friend Pkwy,5y5,Agana,GU,96916
1378,0,786778344,Annukka,,Arbanas,561,Wonuk Road,0t8,Gray Court,SC,29645
1379,0,746031187,Shayne,J,Mcalpine,147,Hoelzle St,8j7,Bonnots Mill,MO,65016
1380,0,260028471,Chournos,B,Cybuch,844,Sosnowski Ave,6g8,Mountain Home,ID,83647
1381,0,636428023,Dmsdb,E,Lassig,,PO Box 264,,Manitou Springs,CO,80829
1382,0,554826333,Charin,J,Traue,210,Sciabica St,1q1,Wilmington,DE,19850
1383,0,406740523,Dolorse,L,Oberoi,584,Youliang Road,6c6,Christiansted,VI,00823
1384,0,755468538,Prototyping,,Shigeya,751,Jakush,3x4,Kosrae,FM,96944
1385,0,748055153,Ampy,P,Kriss,767,Brost Street,4f4,Tulsa,OK,74127
1386,0,218051500,Akimoff,C,Pene,73,Marietta Lane,0p2,Lehigh Acres,FL,33971
1387,0,724658061,Mufti,H,Troesch,414,Hammersand,7r6,Craftsbury Common,VT,05827
1388,0,768364675,Zhiwei,T,Berke,717,Tabulara Rd,1t0,Tuscarora,MD,21790
1389,0,735252778,Klein,,Lucht,,PO Box 654,,Stanton,TN,38069
1390,0,255304488,Christmas,R,Kirkby,994,Salonin Parkway,5h7,Berry,AL,35546
1391,0,200804128,Persels,Y,Hollox,517,Wargnier Rd,6l6,Williams Bay,WI,53191
1392,0,168643001,Caroline,E,Florey,541,Aeriel St,6v1,Natural Dam,AR,72948
1393,0,364486722,Starnes,,Kellar,,PO Box 3044,,Beaufort,SC,29903
1394,0,404626802,Perwinc,L,Kopplin,669,Hammers St,3n7,East Sebago,ME,04029
1395,0,754082280,Zagorsek,K,Frants,635,Sharib Rd,2c2,Agana,GU,96926
1396,0,430818325,Lucais,,Chipman,514,Chyrle Road,1z1,Grant City,MO,64456
1397,0,528523441,Switching,O,Pappu,985,Mcneilly Ave,1r7,Buffalo,WY,82834
1398,0,216478810,Olbrich,,Ashia,678,Gagan Avenue,4w4,Larchmont,NY,10538
1399,0,325408868,Hutchinson,X,Lindajoy,802,Maugey St,4s4,Reno,NV,89595
1400,0,471832304,Ouin,,Federiko,920,Goodwin St,8l8,Kosrae,FM,96944
1401,0,688503125,Masahide,B,Wiggett,564,Mcauliffe Avenue,8g1,Bridgewater,VT,05034
1402,0,760267736,Stassen,,Mengherle,194,Gaarder Avenue,6b7,West Ossipee,NH,03890
1403,0,563884658,Erno,C,Bedan,156,Boecke Ave,2g3,Viola,DE,19979
1404,0,645724361,Camara,,Lebo,966,Mastromattei,3d3,Kosrae,FM,96944
1405,0,553524400,Eicke,L,Sarkan,51,Esdras Road,0p2,Walterboro,SC,29488
1406,0,115878502,Varao,A,Govier,933,Majeed Street,6d0,Slidell,LA,70461
1407,0,334628048,Labouille,J,Lianna,500,Sukhwant Ave,8x5,Las Vegas,NV,89153
1408,0,648370012,Lovegrove,F,Stawarz,527,Danyette Street,5z1,Ashaway,RI,02804
1409,0,484504378,Lovesey,R,Eisenstein,,PO Box 291,,Mechanicstown,OH,44651
1410,0,275677322,Fevere,Y,Felita,298,Miess,7y0,Patterson,MO,63956
1411,0,732563165,Knepper,P,Creswell,284,Gnoh Rd,8y6,Marshall,TX,75671
1412,0,355224456,Caskey,V,Steverson,168,Aun Parkway,7t4,Grand Isle,ME,04746
1413,0,333871157,Attilio,U,Devries,470,Cleto St,2s4,Union,NE,68455
1414,0,258654127,Dynis,H,Hartig,625,Lingyue Road,6g4,Ward,AR,72176
1415,0,108548243,Stolp,Z,Walko,362,Bibiana Avenue,8m0,Waldorf,MD,20601
1416,0,761675015,Wittenberg,J,Giannetti,978,Dorsen Road,2g8,Roberta,GA,31078
1417,0,722756751,Larcher,Y,Sepesi,631,Gurcharan Street,0s3,Sargent,NE,68874
1418,0,730455365,Luehring,,Yazaki,400,Mitsue Avenue,5w5,Lattimer Mines,PA,18234
1419,0,306156078,Vizet,R,Kresky,919,Ikemoto,4s3,Greenleaf,WI,54126
1420,0,278322274,Heinisch,,Rahman,265,Shin Street,8r3,Benson,MD,21018
1421,0,355614024,Burkholder,B,Hurtt,708,Banuelos Avenue,8m3,Wolcott,VT,05680
1422,0,537547541,Brel,Y,Dilip,488,Antuan Ln,4s6,Madison,MN,56256
1423,0,623412475,Ilysa,N,Hedy,,PO Box 4760,,Slate Hill,NY,10973
1424,0,481434044,Thornley,F,Schirle,58,Rossross Street,8s2,Beulah,MS,38726
1425,0,304888085,Kaplanek,J,Mikhail,113,Cann St,5e8,Pontotoc,MS,38863
1426,0,757758517,Kraiczek,A,Kirkland,936,Mendras Ln,7k2,Morgantown,MS,39484
1427,0,467328454,Shipe,,Volchegursky,991,Zedekiah Parkway,4u8,Fillmore,KY,41323
1428,0,623215104,Joannie,V,Sumidja,337,Khaja Street,1w2,Anchorage,AK,99512
1429,0,474638021,Lumley,B,Farinelli,241,Stanley Street,8b0,New Albany,KS,66759
1430,0,773884363,Ressner,W,Keeling,930,Sharuvena Road,2c6,Mc Grady,NC,28649
1431,0,452124102,Smulders,,Norikatsu,359,Hayden,6t4,Dillingham,AK,99576
1432,0,210586666,Monzo,X,Hashmi,647,Descours Ave,2o5,East Fultonham,OH,43735
1433,0,523220780,Bouwa,A,Reynaud,399,Chevalier Rd,3g8,Grand Mound,IA,52751
1434,0,234832322,Marilynn,,Clary,581,Heinen Rd,0r1,Gilson,IL,61436
1435,0,136672238,Cocoual,N,Mukharji,261,Dau Street,1b7,Woodbine,KS,67492
1436,0,132132005,Comm,,Lairson,489,Snowe Rd,6e5,Saint Edward,NE,68660
1437,0,161483323,Eddins,W,Carel,985,Mundlin Avenue,0f6,Kosrae,FM,96944
1438,0,411537142,Takabe,B,Mobasser,690,Honig Rd,6z3,Aurora,CO,80019
1439,0,171815075,Lida,X,Jegathevan,402,Kiennghiep Ave,0a0,Mahaska,KS,66955
1440,0,626406303,Minelia,P,Chesterfield,521,Lucarelli Parkway,2i4,Tieton,WA,98947
1441,0,324883774,Erma,,Mclauren,146,Reventlow Avenue,0f2,Providence,RI,02912
1442,0,650083454,Bren,,Sheree,207,Ropelato Rd,4d2,Arcadia,OH,44804
1443,0,216873368,Frieder,U,Lications,849,Giok Street,6i2,Gardner,IL,60424
1444,0,417616456,Souillet,,Hief,84,Oziemblo Ln,7q7,Kosrae,FM,96944
1445,0,380337787,Yeng,A,Oge,557,Angeli Lane,5g8,Arkadelphia,AR,71923
1446,0,686471200,Autoquote,H,Cobbe,420,Benjy Road,5j4,Davenport,IA,52808
1447,0,672607583,Rohita,L,Geahan,487,Ezechiel Ln,6g8,Reno,NV,89564
1448,0,474557644,Boppana,V,Pirkey,835,Nafsika Avenue,8q6,Sherman,CT,06784
1449,0,247810614,Wees,W,Crumley,715,Hupkes Street,8u6,Alexandria,LA,71301
1450,0,336747310,Bernhard,,Sten,454,Ryter Lane,3z3,Sherman,MS,38869
1451,0,326033630,Jinsong,I,Jene,388,Tianbao St,8y4,Las Vegas,NV,89107
1452,0,300061683,Vandevalk,K,Spies,857,Slavish Pkwy,5t5,Shabbona,IL,60550
1453,0,728780670,Voyles,O,Vennos,886,Dykstra Ave,1x8,Farmington,DE,19942
1454,0,377264266,Figone,Z,Pheah,665,Mansell St,0i7,Virginia Beach,VA,23464
1455,0,660726122,Vanveen,B,Delila,,PO Box 1297,,Mapleton,KS,66754
1456,0,513185133,Honeycutt,R,Fil,563,Duron Ln,8y8,Good Thunder,MN,56037
1457,0,510553044,Phebe,V,Minhphuc,603,Eoff Avenue,4h0,Longwood,FL,32791
1458,0,531471600,Ferd,,Bollar,558,Tamone,5e8,Westerly,RI,02891
1459,0,421742267,Amorelli,I,Tayfun,420,Lafferty Avenue,1y5,Fennimore,WI,53809
1460,0,145042432,Mollohan,,Glascock,274,Beppie,7v2,Mansfield,SD,57460
1461,0,628077333,Butto,O,Tresa,168,Yikhon Avenue,6a0,Pall Mall,TN,38577
1462,0,272402272,Taki,Z,Tadao,,PO Box 2027,,Prior Lake,MN,55372
1463,0,132134672,Foest,S,Dufourd,722,Skilling Ave,0e1,Concord,CA,94519
1464,0,341530754,Rajen,S,Kassandra,284,Evett Pkwy,7v3,Philadelphia,PA,19188
1465,0,446185300,Brandle,O,Linfield,396,Boughas Rd,0j4,Detroit,MI,48217
1466,0,546716561,Gwinni,T,Gaunt,587,Deriu Pkwy,1y3,Mc Lean,VA,22102
1467,0,272870245,Jesse,I,Fella,48,Alcindor Rd,5t3,Clayton Lake,ME,04737
1468,0,203702270,Whyte,,Puentes,899,Mickens St,3f7,Conway,MA,01341
1469,0,687203551,Dobrowski,L,Terrio,,PO Box 1517,,Charlotte Amalie,VI,00802
1470,0,327116470,Messmer,E,Marcantonio,362,Eliopoulos Lane,7i5,Sandy Spring,MD,20860
1471,0,283664881,Mcnicoll,F,Muto,908,Penrod Street,2u3,Sandisfield,MA,01255
1472,0,568417257,Verdries,,Evonne,727,Deneyer St,5r2,South Windsor,CT,06074
1473,0,633066378,Squires,V,Agata,306,Seung St,7x4,Pensacola,FL,32559
1474,0,237067251,Trittler,Z,Hammermeister,524,Tedd,8c7,Alta Vista,KS,66834
1475,0,566558548,Lorain,B,Haggarty,629,Cristetto,0v5,Tulsa,OK,74115
1476,0,176457235,Dubus,Q,Soi,689,Csaki Road,7d5,Dallas,TX,75209
1477,0,613380186,Jinyun,U,Lonee,,PO Box 2617,,Kyle,SD,57752
1478,0,511345108,Kliment,,Marshburn,293,Tosello Rd,0l0,Max,NE,69037
1479,0,357705513,Ehart,B,Aoumeur,466,Czyperek Rd,8v0,Far Rockaway,NY,11693
1480,0,745288542,Kushima,S,Dievoet,26,Vincenzi Rd,3k1,Presque Isle,WI,54557
1481,0,427532144,Loreen,I,Seino,463,Wint,6h3,Devol,OK,73531
1482,0,358020747,Saltzer,,Janna,310,Calle Road,4c2,Aibonito,PR,00609
1483,0,416428651,Casarez,,Rubenzahl,105,Yoshikatsu,7f6,Eagleville,MO,64442
1484,0,672645307,Brandtr,T,Hosfeldt,139,Graybehl,0z3,Cragsmoor,NY,12420
1485,0,647724084,Childers,N,Chintala,643,Splendorio St,3o0,Binger,OK,73009
1486,0,641116141,Ludwigs,H,Pobjoy,457,Liebesny Parkway,0g5,Enosburg Falls,VT,05450
1487,0,127210142,Dunfield,P,Cevey,706,Dohin Pkwy,8y8,Topeka,KS,66652
1488,0,477744623,Heen,,Heston,376,Yoger Lane,5x8,Brookfield,WI,53005
1489,0,634825307,Natka,F,Student,394,Offutt Lane,6g6,De Graff,MN,56233
1490,0,684538310,Enders,Y,Bennison,892,Christianne Ln,4t6,San Juan,PR,00908
1491,0,401381737,Odoux,X,Nebe,475,Neamtu Road,7p7,Kensett,AR,72082
1492,0,716310350,Fionna,S,Watabe,997,Apotre Parkway,7r2,Carpenter,WY,82054
1493,0,486466567,Rospars,H,Chardon,640,Patr Street,2j1,Cedar Rapids,IA,52406
1494,0,607071237,Sock,B,Waiter,454,Ragu Road,8d2,Emmonak,AK,99581
1495,0,460551781,Heyward,L,Haruko,341,Parankema Pkwy,8o4,Gray,ME,04039
1496,0,172742866,Aldea,U,Steder,406,Belaire Avenue,3w0,Bristol,RI,02809
1497,0,571202461,Lucile,C,Hsketh,689,Haxton Rd,0c2,Ashburnham,MA,01466
1498,0,105154100,Braddick,C,Umeshima,1,Cortland Avenue,7c4,Chignik,AK,99564
1499,0,451482322,Ohsone,Y,Neumiller,801,Ondovcik Ln,7i8,Saint Cloud,MN,56393
1500,0,271544821,Bevel,Q,Katsura,580,Dehlia Street,2t4,Mount Clemens,MI,48044
1501,0,421530587,Tomohiko,B,Rensink,590,Lacaze Rd,6x7,Upper Marlboro,MD,20775
1502,0,506582132,Cady,M,Thakurta,704,Llerena Rd,7x5,Sparks,NV,89436
1503,0,206045075,Wells,U,Imperial,255,Conry Avenue,6f7,Christiansted,VI,00824
1504,0,124582376,Thielemann,,Knighton,32,Asniati Road,1s6,Saint Marys,MO,63673
1505,0,187814331,Theresia,D,Ammerman,602,Filippa Road,5a8,Portland,CT,06480
1506,0,217804301,Bertke,G,Masessa,,PO Box 3941,,Columbia,MO,65218
1507,0,543818248,Saladna,,Colledge,949,Tiffanie Ave,5u5,Lewiston,NE,68380
1508,0,250505133,Lamza,Q,Naresh,18,Barcza St,5y4,Largo,FL,34647
1509,0,617378776,Riganelli,G,Chalk,537,Bigai Avenue,5n4,Charlotte Amalie,VI,00801
1510,0,256677086,Swanson,T,Inroy,958,Daedalus Road,0b1,Trenton,NJ,08666
1511,0,651532257,Abdelrahim,,Martinez,550,Gulseth Ave,8z3,Paterson,NJ,07504
1512,0,301038881,Delguzzo,X,Pittoni,643,Cabebe Road,5r2,Vermillion,MN,55085
1513,0,401161201,Baruch,E,Cu,,PO Box 815,,San Bernardino,CA,92413
1514,0,761468070,Marcella,Q,Iriti,,PO Box 1879,,Kosrae,FM,96944
1515,0,563676207,Hinz,A,Giesbrecht,101,Mackzum Ave,7y4,Lee City,KY,41342
1516,0,678402468,Buecher,S,Guel,554,Sherill Rd,2v1,Florence,KY,41022
1517,0,237612030,Bessin,,Dizon,,PO Box 4371,,Vermillion,MN,55085
1518,0,602834232,Raffarty,F,Puchert,934,Chitnis Street,6p6,Mullica Hill,NJ,08062
1519,0,705852087,Shaji,,Guyarbour,,PO Box 3384,,Hummelstown,PA,17036
1520,0,752538107,Eveline,N,Onizuka,6,Abouav Street,0b1,Christiansted,VI,00824
1521,0,625646142,Ramee,T,Dombrosio,,PO Box 3310,,Danville,NH,03819
1522,0,687401454,Freder,V,Berek,470,Lashmit Ave,2y0,Davis,WV,26260
1523,0,134321360,Barata,R,Thurow,434,Cadwallader St,0e3,Hyattsville,MD,20784
1524,0,546218410,Bratt,V,Dettling,81,Cronk Road,6t6,Callands,VA,24530
1525,0,150310062,Welka,E,Sivaji,488,Deriat Ave,4z3,Bogue Chitto,MS,39629
1526,0,465501824,Goei,,Aebischer,454,Holbrook,7y0,Cold Bay,AK,99571
1527,0,287544676,Gould,Z,Lubrin,,PO Box 1451,,Aumsville,OR,97325
1528,0,186884761,Fordyce,,Neene,,PO Box 4126,,Brownsville,WI,53009
1529,0,587741444,Petersen,X,Sczeponik,862,Maura Street,1c7,Olney,MD,20832
1530,0,501640476,Maynard,,Gane,342,Henger Ave,6j1,Houston,TX,77034
1531,0,614865761,Auroora,V,Comly,359,Abbot Road,2m6,Scottsbluff,NE,69363
1532,0,536277756,Hore,T,Beatrisa,300,Nabeel Street,4s7,Beecher Falls,VT,05902
1533,0,604752253,Gerek,P,Shepherd,738,Yasuyuki Lane,7m2,Pewaukee,WI,53072
1534,0,322152612,Ghasemian,O,Mun,732,Pukala,4d4,Queen Anne,MD,21657
1535,0,578260113,Flach,W,Rehbein,,PO Box 3794,,Charlotte Amalie,VI,00803
1536,0,488181636,Catherina,N,Maidl,934,Benthin Ave,7e7,Tribbett,MS,38779
1537,0,570243252,Hoosian,V,Degi,842,Couch Ave,1c4,Fort Smith,AR,72903
1538,0,285356865,Pooi,P,Ulli,433,Roll,8i2,Saint Regis,MT,59866
1539,0,461331025,Arluck,L,Mulroney,406,Jue Pkwy,2n7,Colchester,CT,06415
1540,0,110320316,Ivanhoe,U,Kiwon,272,Herrell Lane,6y6,Logan,UT,84322
1541,0,672452553,Maycock,W,Vilok,,PO Box 117,,Denver,CO,80254
1542,0,153711222,Andris,T,Cantor,651,Shorgan Pkwy,1y7,Stonington,IL,62567
1543,0,164136110,Helmbolt,O,Akimasa,817,Whoi,8z6,Center Ossipee,NH,03814
1544,0,438500836,Seok,W,Tymchenko,778,Kolkka Ave,3z6,Cottonwood,ID,83538
1545,0,257410203,Yuriko,A,Mandrusov,274,Lorry St,3l6,Sweet Home,OR,97386
1546,0,370046252,Libby,,Hingston,,PO Box 3872,,Anchorage,AK,99511
1547,0,440707318,Nafsiah,Z,Nurhan,830,Jameson St,1v0,Bridgeport,CT,06607
1548,0,780803057,Johanson,W,Hy,,PO Box 4696,,Media,PA,19091
1549,0,484763802,Doody,I,Verburg,458,Desroches Street,7a0,Wasco,IL,60183
1550,0,676213332,Jard,,Carlee,458,Weerdt Ave,7c7,Addison,AL,35540
1551,0,418115140,Croccolo,U,Vrabel,344,Alaniesse Lane,1t1,Erie,PA,16514
1552,0,175151850,Courtadm,I,Flavio,133,Baillod Rd,2q1,Washington,DC,20266
1553,0,584468207,Schnabel,,Motegi,146,Venti,3q6,Skene,MS,38775
1554,0,405367853,Menaro,D,Lizz,848,Ogrey St,2d6,Nixon,NV,89424
1555,0,565501528,Nahabedian,T,Torben,562,Rodil Pkwy,2c8,Aberdeen,NC,28315
1556,0,523526664,Urbanic,F,Martinez,,PO Box 335,,Brooklin,ME,04616
1557,0,313778808,Klaudt,,Latini,592,Meierhoefer Pkwy,1y7,Fogelsville,PA,18051
1558,0,648081388,Smita,,Maes,298,Hadzri Rd,8w2,Grantsville,WV,26147
1559,0,168833805,Ducic,T,Rosenah,972,Corinna Ln,8u8,De Witt,NE,68341
1560,0,526212307,Galindez,,Cru,399,Gaspar Road,6w1,Dayton,NV,89403
1561,0,303053488,Properzi,U,Mihaloew,606,Needles Street,6s5,Washington,DC,20420
1562,0,435427815,Giorgos,U,Elonore,680,Karppi Ave,1z1,Parkersburg,IA,50665
1563,0,410452433,Tauni,,Nunley,506,No St,5k4,Slocum,RI,02877
1564,0,104251121,Mertz,K,Booker,518,Parkhill Ave,5t7,Waurika,OK,73573
1565,0,527876354,Wiesner,M,Bible,,PO Box 520,,Sharptown,MD,21861
1566,0,383760313,Baumann,L,Eisenbeis,,PO Box 3311,,Warrenton,OR,97146
1567,0,157868751,Sohota,U,Athar,797,Schoettler Street,0w8,Annabella,UT,84711
1568,0,203357001,Adrianna,M,Onofrio,,PO Box 2527,,Oakhurst,OK,74050
1569,0,562748806,Chico,Y,Ferna,490,Dutoit Ave,0g7,Ethelsville,AL,35461
1570,0,518678756,Boettcher,,Medenwald,350,Akim Road,8s8,Snow Camp,NC,27349
1571,0,514508136,Caratini,O,Waitzenegger,346,Vanslambrook Parkway,8l4,Gaylordsville,CT,06755
1572,0,565046826,Pantojas,Q,Varon,356,Klepach Road,7p4,Braddock Heights,MD,21714
1573,0,207872446,Viti,,Pfund,672,Kneeland Road,4f2,San Juan,PR,00922
1574,0,232528651,Huertas,F,Cortie,876,Zesiger Ave,1y6,Heron Lake,MN,56137
1575,0,682660313,Hautun,X,Autry,800,Grath Avenue,0s4,FPO San Francisco,GU,96630
1576,0,610817156,Hixon,Q,Rivaherrera,829,Brought St,6i4,Kosrae,FM,96944
1577,0,237750856,Mivehchi,X,Gerrie,149,Bedos St,8l3,Huntington,WV,25728
1578,0,261833336,Garv,R,Dukes,,PO Box 4213,,Flintville,TN,37335
1579,0,381107744,Kendel,,Radio,478,Leaton Ln,3y0,Dallas,SD,57529
1580,0,433206802,Dischinger,N,Dvorak,584,Meltzer St,7x1,Kiowa,CO,80117
1581,0,127447672,Moening,L,Ruttigliano,493,Vengadas,2q6,Dumont,NJ,07628
1582,0,561652027,Aylmer,M,Wiggett,230,Zufall Road,8b3,Danforth,ME,04492
1583,0,645378136,Youngblood,V,Karena,795,Margaritis Rd,2d1,Kotlik,AK,99620
1584,0,651032446,Jastinder,M,Starzinski,355,Wayler Ln,3j4,Zephyr Cove,NV,89448
1585,0,133857462,Yukinaga,A,Valina,219,Holmby Rd,6i1,San Juan,PR,00915
1586,0,646811612,Farnham,I,Panchito,99,Skowronek,1j7,Epes,AL,35460
1587,0,603731660,Mamis,H,Blomme,68,Aktuna Street,1w0,Harrisburg,NE,69345
1588,0,150145100,Ianace,B,Sev,998,Kanies Avenue,7w3,Washington,DC,20073
1589,0,283877531,Shimoda,F,Milardovich,206,Lafarge Avenue,7t3,Charlotte Amalie,VI,00801
1590,0,660115783,Muhamad,,Budd,132,Elhamahmy Parkway,1m3,Salt Lake City,UT,84119
1591,0,246124000,Bompais,,Lafarge,605,Conny Rd,5c7,Hinton,OK,73047
1592,0,312865550,Hov,T,Breslin,144,Sylvi Lane,5n1,Burr,NE,68324
1593,0,658286805,Stringham,H,Morize,23,Lia Ave,5q4,Wilkes-Barre,PA,18709
1594,0,337658614,Misaki,,Leighs,423,Weger Road,7c2,Parma,ID,83660
1595,0,344736155,Attardo,R,Juat,519,Faley Street,7w8,Crystal,MI,48818
1596,0,780888502,Janna,J,Engman,823,Shechtman Lane,3p0,Saint Anne,IL,60964
1597,0,704538633,Dankert,G,Wenche,,PO Box 3437,,Nephi,UT,84648
1598,0,226384412,Ernsdorff,,Thicuc,996,Thege Road,2d6,Thorsby,AL,35171
1599,0,722168241,Roupas,,Hironobu,824,Mathrusse Avenue,7u5,Reynolds,GA,31076
1600,0,145416877,Malynda,,Fertig,565,Meservey Rd,5d8,Mount Hope,WV,25880
1601,0,733172154,Carin,Z,Armentrout,217,Brittni St,5j3,Ciales,PR,00638
1602,0,571107351,Borboen,,Vonny,506,Kedrowski Road,1i1,Marvin,SD,57251
1603,0,168055567,Wetherbee,Z,Shippen,425,Viskovich Ave,8z4,Myersville,MD,21773
1604,0,320011705,Livio,Z,Stoetzer,789,Corchado Road,4b5,Stidham,OK,74461
1605,0,322771024,Lone,M,Deschuyffeleer,957,Medford Street,0b6,Wilton,IA,52778
1606,0,781525648,Brynne,X,Mellicent,832,Bing Rd,6h8,Lockney,WV,25258
1607,0,421155322,Bernardin,R,Gookin,391,Hwajin Avenue,0k5,Atoka,OK,74525
1608,0,610135326,Reporting,T,Raffa,843,Margherita Lane,1o8,Mayville,NY,14757
1609,0,505044126,Beato,,Benjami,788,Sarjo Street,6p0,Orleans,CA,95556
1610,0,234154355,Rosebrock,N,Freire,642,Ondracek Street,5d6,New York,NY,10103
1611,0,608422600,Bayno,Q,Nakagome,179,Rainie St,7o0,Meeker,CO,81641
1612,0,582632640,Capwell,T,Sumit,261,Tewari Road,7i6,FPO San Francisco,GU,96637
1613,0,676506166,Slavish,G,Delmont,390,Norbert,8y3,Macon,GA,31200
1614,0,421043124,Mirolla,F,Ronn,693,Lotz Street,8x4,Hamilton Dome,WY,82427
1615,0,277873305,Bruylant,G,Balmer,,PO Box 2027,,Akiak,AK,99552
1616,0,754575434,Sims,U,Silburt,,PO Box 419,,Lakeside,CT,06758
1617,0,647386236,Ridpath,H,Takao,607,Saum,5w2,Honea Path,SC,29654
1618,0,615700070,Martellaro,,Roede,,PO Box 531,,Wilmington,DE,19886
1619,0,655233246,Obas,S,Heston,507,Ear Ave,3n0,Madison,WI,53709
1620,0,706730855,Sartor,,Aknine,496,Radosky Parkway,7s3,Sula,MT,59871
1621,0,232546485,Facchini,Y,Hugo,248,Platnick Avenue,0e8,Buffalo,MN,55313
1622,0,353802163,Tusi,C,Lemar,505,Clau,2n2,Tremont City,OH,45372
1623,0,188807622,Chavolla,N,Cassian,136,Jakeman Lane,0g7,Marietta,MS,38856
1624,0,648315044,Ravid,,Garvin,869,Mizerk Rd,1g2,Kosrae,FM,96944
1625,0,504561487,Russel,Y,Etzel,210,Kolansky Street,3u1,Austin,TX,78748
1626,0,182312580,Melli,S,Linstad,777,Rajespathy Parkway,8v5,Sturgis,MS,39769
1627,0,441458837,Fairgrieve,,Tavares,712,Mallari Ave,2h5,Cataula,GA,31804
1628,0,783581182,Marve,B,Prativadi,683,Rizzuti St,4x3,Pigeon Falls,WI,54760
1629,0,164015502,Anthoula,Y,Hoyez,220,Yook Street,3l1,Cedar Falls,NC,27230
1630,0,625011427,Fordyce,Y,Meastas,143,Stat Avenue,3q1,Free Soil,MI,49411
1631,0,568261481,Miotla,E,Susil,284,Hikida Road,5i6,Laurel,MS,39441
1632,0,222482428,Pavlich,A,Keilman,633,Jinann St,7k4,Cranston,RI,02910
1633,0,386407757,Petel,T,Reh,474,Kikuda St,7c6,Sacramento,CA,94294
1634,0,660374036,Vangrunderbeeck,,Kuminek,684,Roetker St,1v4,Maywood,NE,69038
1635,0,344147830,Irwinn,F,Kathrerine,993,Mardziah Ave,2n4,Pine Lake,GA,30072
1636,0,444383137,Unix,J,Brailey,212,Rohela Ave,8z7,Damascus,PA,18415
1637,0,456477821,Birgitta,Y,Marche,829,Shigeyuki Rd,4q3,Springfield,SC,29146
1638,0,408160766,Constantina,,Maidlab,749,Rauer Ln,2d4,Reynolds,MO,63666
1639,0,334102110,Bechaimont,X,Masago,,PO Box 4942,,Trujillo Alto,PR,00760
1640,0,751611788,Natty,C,Shiuan,928,Orosz,2r8,Rock Hill,SC,29732
1641,0,607376473,Hagenlocher,,Gilbert,93,Hardev Street,4o7,Ashville,NY,14710
1642,0,504663511,Patricemarja,V,Rassell,107,Setros St,6t7,Oil City,LA,71061
1643,0,348702132,Kelsy,,Artuso,624,Gonza,7y8,Centrahoma,OK,74534
1644,0,453307627,Grippia,H,Kweisi,920,Aldevino Pkwy,6o2,Frederic,MI,49733
1645,0,730207812,Pilon,D,Neyman,174,Gonze Avenue,4n6,West Pawlet,VT,05775
1646,0,524760064,Dhar,E,Lewan,950,Hanrahan Parkway,6e5,Cruz Bay,VI,00830
1647,0,117374484,Hochhausen,C,Adda,390,Duxbury Street,1l2,Radcliff,OH,45670
1648,0,448871760,Chuang,,Milkowski,545,Verena,8n4,Coaldale,CO,81222
1649,0,415154737,Iacullo,,Basist,32,Galane Street,1a5,Washington,DC,20572
1650,0,625123862,Ugo,,Enclumes,793,Ryun,3b0,Cedar Bluffs,NE,68015
1651,0,518855772,Minami,G,Brovet,160,Laks Rd,0y8,Greentop,MO,63546
1652,0,534104843,Peleg,B,Claffy,,PO Box 2759,,Lowry City,MO,64763
1653,0,386074058,Manisah,M,Tegt,112,Leroi Ave,6m6,Banner Elk,NC,28604
1654,0,720338637,Simrin,,Avizzano,212,Coeckelberghs St,1a2,Sanford,NC,27237
1655,0,734033751,Happ,Z,Ruder,565,Muthuswamy,2b5,Cleveland,OH,44119
1656,0,561264828,Theadora,O,Fortenberry,116,Teater Pkwy,2b8,San Juan,PR,00934
