FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,ChildExemp
Evaggelia,Kosanke, 401,130-1746,NEWPORT,RI,02841,S,Y,70000,0.0,0,0
Petrisor,Glymour, 484,150-1060,LEMASTERS,PA,17231,M,Y,71500,3.07,0,0
Phokion,Karavelas, 808,191-1840,WHEELER ARMY AIRFIELD,HI,96854,S,N,17500,4.194079,1040,0
Eike,Reina, 917,179-1186,ALBANY,NY,12256,M,Y,50000,4.243293,0,1000
Ella,Kaji, 787,181-1994,CAGUAS,PR,00725,M,Y,1000,0.0,0,0
Anestis,Streitz, 980,148-1689,ALBERTSON,NC,28508,M,Y,42500,6.624126,0,3300
Samit,Thallinger, 678,125-2087,DAWSON,GA,39842,M,N,91500,6.0,0,0
Asawaree,Noth, 804,112-1843,ALEXANDRIA,VA,22306,M,Y,46500,5.75,0,900
Fadi,Suwa, 307,110-1243,FAIRVIEW,WY,83119,S,Y,57500,0.0,0,0
Fouad,Habermann, 912,146-1714,ATHENS,GA,30609,M,N,86500,6.0,0,0
Timo,Thalheim, 678,177-2006,ATLANTA,GA,30346,M,Y,8500,6.0,0,3000
Themis,Winkels, 939,164-1249,SAN JUAN,PR,00940,S,N,19500,0.0,0,0
Julian,Daul, 949,111-1260,INGLEWOOD,CA,90397,S,Y,57000,9.3,87,272
Krasimir,Riva, 580,166-1374,WAYNOKA,OK,73860,S,Y,14000,6.25,1000,1000
Bjorn,Hoogerwoord, 802,162-1901,WILDER,VT,05088,M,Y,88000,4.755926,0,3300
Aske,Zahle, 334,125-1052,DOZIER,AL,36028,S,Y,28500,5.0,1500,300
Rowland,Sutiwaraphun, 508,102-1920,SOUTH YARMOUTH,MA,02664,M,Y,4000,5.3,0,1000
Tamitha,Guernic, 304,118-1371,MINERAL WELLS,WV,26120,S,N,37000,4.8900003,2000,0
Lester,Dusse, 302,161-1087,GREENWOOD,DE,19950,M,N,85000,5.95,0,0
Sukumar,Gruninger, 224,185-1990,CAMPUS,IL,60920,S,N,69500,3.0,2000,0
Sang,Bennis, 202,102-1948,WASHINGTON,DC,20570,S,N,21000,6.9750004,1370,0
Valentine,Duspohl, 603,113-1364,HOLLIS,NH,03049,S,Y,57500,0.0,0,0
Kousha,Tacic, 631,189-1690,EAST BERNE,NY,12059,S,Y,25000,4.0984755,0,1000
Mayez,Rotics, 907,156-1012,TUNTUTULIAK,AK,99680,S,Y,94500,0.0,0,0
Helga,Kubierschky, 781,113-1710,WESTFIELD,MA,01086,S,N,73000,5.3,3575,0
Baocai,Miliotis, 907,146-1846,KIPNUK,AK,99614,M,Y,67500,0.0,0,0
Murty,Beznosov, 509,190-1330,PUYALLUP,WA,98371,S,Y,98000,0.0,0,0
Maogang,Sacone, 302,113-1205,HOCKESSIN,DE,19707,M,Y,23000,3.4272728,0,110
Risto,Merges, 316,185-1489,COUNCIL GROVE,KS,66846,S,N,43000,6.45,2250,0
Ottavia,Casas, 712,129-1264,ADAIR,IA,50002,M,Y,1000,0.36,0,40
Aiman,Rauf, 302,135-1004,WILMINGTON,DE,19810,S,N,29500,3.8704543,110,0
Behrooz,Pellegrinelli, 864,142-1958,ROCK HILL,SC,29733,S,Y,42000,7.0,3300,3300
Helio,Koppstein, 303,131-1674,BOULDER,CO,80328,S,N,95500,4.63,0,0
Michinao,Hasham, 651,174-1023,EDGERTON,MN,56128,S,Y,17000,5.35,3300,3300
Nat,Lucia, 219,131-1334,FORT WAYNE,IN,46860,M,Y,53000,3.4,0,1000
Partick,Courtenage, 480,118-1131,BLUE,AZ,85922,S,N,12500,2.9087498,2100,0
Shalitha,Freundlich, 401,188-1548,CUMBERLAND,RI,02864,M,Y,6000,0.0,0,0
Vasilios,Diaconis, 860,152-1340,STAMFORD,CT,06910,M,N,52000,5.0,0,0
Rana,Palfreyman, 505,131-1730,ALBUQUERQUE,NM,87109,S,Y,9500,3.0714288,3300,3300
Berna,Justus, 425,148-1544,APPLETON,WA,98602,S,N,86500,0.0,0,0
Reynald,Beck, 202,117-1280,WASHINGTON,DC,20012,M,N,16500,5.9625,0,0
Aiqun,Olivo, 205,132-1462,ATMORE,AL,36503,S,N,45000,5.0,1500,0
Mattias,Boers, 732,115-1203,WHITEHOUSE,NJ,08888,M,N,80000,2.34625,0,0
Kostas,Ishisone, 208,169-1414,MONTEVIEW,ID,83435,M,Y,74500,7.8,0,3300
William,Bertelsen, 434,158-1585,HERNDON,VA,20171,S,Y,95000,5.75,900,900
Shikharesh,Salvesen, 410,183-1860,BRUNSWICK,MD,21716,M,N,41500,4.75,0,0
Ramasamy,Hollenbach, 603,197-2039,HOLDERNESS,NH,03245,S,Y,21000,0.0,0,0
Maxwell,Szpakowicz, 775,198-1316,STATELINE,NV,89449,M,N,54000,0.0,0,0
Juri,Pesotchinsky, 207,139-1924,FALMOUTH,ME,04105,S,Y,76500,8.5,2850,2850
Maire,Latyshev, 801,161-1119,AXTELL,UT,84621,S,N,45000,7.0,2475,0
Sandi,Compeau, 727,169-1240,TAMPA,FL,33620,M,Y,5000,0.0,0,0
Talia,Dharanipragada, 608,112-1026,HAGER CITY,WI,54014,M,N,61000,5.5062876,0,0
Truman,Kelb, 336,161-1404,GRANITE QUARRY,NC,28072,S,N,37500,6.519231,3300,0
Khalid,Sulzmann, 870,179-1197,ROSIE,AR,72571,M,N,94500,7.0,0,0
Levis,Kocis, 785,167-1283,KENSINGTON,KS,66951,S,N,2000,3.5,2250,0
Vincente,Mackay, 425,132-1089,ISSAQUAH,WA,98029,S,N,95500,0.0,0,0
Waeil,Shumilov, 225,180-1037,SAINT JOSEPH,LA,71366,M,N,50000,6.0,0,0
Naji,Priest, 302,161-1396,ROCKLAND,DE,19732,M,Y,38500,4.484091,0,110
Ruth,Verhofstadt, 701,152-1162,MAX,ND,58759,S,N,82000,2.7062745,3300,0
Delgado,Cap, 912,174-2027,ATLANTA,GA,30308,M,Y,81500,6.0,0,3000
Ramo,Capani, 620,165-1177,MORROWVILLE,KS,66958,M,Y,31500,6.45,0,2250
Nevana,Warnock, 715,101-1391,MILLADORE,WI,54454,M,N,45000,5.228285,0,0
Miro,Simec, 603,146-1636,SOUTH ACWORTH,NH,03607,M,Y,22500,0.0,0,0
Gulbin,Hooghiemstra, 939,198-1882,SAN JUAN,PR,00975,M,N,91500,0.0,0,0
Ido,Szpakowicz, 401,145-1460,PROVIDENCE,RI,02904,S,N,21500,0.0,0,0
Jayen,Priebs, 401,154-1138,WARWICK,RI,02889,S,N,32500,0.0,0,0
Rafols,Reps, 229,154-1333,DOUGLASVILLE,GA,30154,M,Y,99500,6.0,0,3000
Sylvian,Hobbs, 316,158-1456,POMONA,KS,66076,S,Y,67000,6.45,2250,2250
Xiaoqun,Heilandt, 865,159-1598,NASHVILLE,TN,37214,M,N,95500,0.0,0,0
Kirsty,Unemi, 781,177-1643,SIASCONSET,MA,02564,S,N,17500,5.3,3575,0
Gain,Gumb, 401,134-1238,EAST PROVIDENCE,RI,02914,S,Y,38000,0.0,0,0
Pang,Kean, 850,184-2032,SARASOTA,FL,34236,S,Y,50500,0.0,0,0
Charalambos,Vanegas, 251,174-1344,HOLLINS,AL,35082,M,Y,23000,5.0,0,300
Nhon,Sloman, 479,116-1933,FAYETTEVILLE,AR,72703,S,Y,98500,7.0,20,20
Sallie,Forcheri, 631,186-1918,WESTTOWN,NY,10998,M,N,53500,4.263567,0,0
Andy,McGavran, 208,132-1809,RUPERT,ID,83350,M,N,27000,7.8,0,0
Surata,Iwanuma, 571,195-1123,BRANCHVILLE,VA,23828,S,N,4000,2.267857,900,0
Kristine,Heijden, 501,198-1531,NORPHLET,AR,71759,S,N,95000,7.0,20,0
Edisanter,Nobauer, 952,150-1690,FRONTENAC,MN,55026,S,Y,1500,5.35,3300,3300
Wenhui,Braams, 405,168-1538,KINGSTON,OK,73439,S,N,39000,6.25,1000,0
Saila,Rosch, 907,186-1461,OLD HARBOR,AK,99643,M,N,5500,0.0,0,0
Keqin,Khamiss, 808,192-1348,LAHAINA,HI,96761,M,N,87000,8.25,0,0
Chrysanthos,Ishisone, 845,108-1908,SCHUYLER FALLS,NY,12985,S,Y,39500,4.1824694,0,1000
Corina,Coluccini, 240,134-1335,TEMPLEVILLE,MD,21670,M,N,63000,4.75,0,0
Takushi,Marakhovsky, 248,130-1290,WASHINGTON,MI,48095,M,N,20000,3.9,0,0
Penny,Cardiff, 307,117-1677,VETERAN,WY,82243,M,N,97000,0.0,0,0
Penny,Wiel, 252,153-1790,LEXINGTON,NC,27292,S,Y,53000,6.8444057,3300,3300
Takuji,Bihari, 207,101-1734,SEARSMONT,ME,04973,S,N,62000,8.5,2850,0
Behzad,McClurg, 321,148-1824,EARLETON,FL,32631,S,N,73000,0.0,0,0
Gertrud,Stroup, 252,103-1065,HIDDENITE,NC,28636,M,Y,17000,6.089161,0,3300
Mikiko,Chellappa, 402,140-1018,HOSKINS,NE,68740,S,N,12500,4.353693,103,0
Eenjun,Giunchiglia, 202,184-1380,WASHINGTON,DC,20411,S,Y,73500,9.0,1370,1370
Evanthia,Malama, 580,179-1438,MANNSVILLE,OK,73447,M,Y,50000,6.25,0,1000
Thaddeus,Tani, 239,184-1645,GAINESVILLE,FL,32613,S,N,97000,0.0,0,0
Kenko,Parnes, 304,186-1515,GALLAGHER,WV,25083,M,Y,98500,6.5,0,2000
Soklei,Schahn, 337,194-1306,WINNSBORO,LA,71295,M,Y,51000,6.0,0,1000
Fumitaka,MacNaughton, 864,106-1247,LAMAR,SC,29069,M,Y,95000,7.0,0,3300
Zhisheng,Benzaken, 252,160-1236,WELDON,NC,27890,M,N,22500,6.2045455,0,0
Kaniaki,Paterakis, 772,189-1164,DOVER,FL,33527,M,N,8000,0.0,0,0
Nicolaas,Brogi, 313,132-1782,PONTIAC,MI,48342,M,Y,97000,3.9,0,3100
Irs'hak,Papadourakis, 302,114-1366,SMYRNA,DE,19977,S,Y,59000,5.881818,110,110
Yeogirl,Pinho, 662,174-1363,GRENADA,MS,38902,M,Y,19000,5.0,0,1500
Garret,Lamba, 928,137-1176,PHOENIX,AZ,85070,M,Y,77500,3.91625,0,2300
Karin,Antognini, 812,152-1105,LARWILL,IN,46764,M,N,33500,3.4,0,0
Akinori,Valenzano, 985,196-2061,SPRINGHILL,LA,71075,S,N,85000,6.0,4500,0
Daphne,Tsujishita, 605,136-1839,FRANKFORT,SD,57440,S,N,69500,0.0,0,0
Einat,Musha, 605,158-1011,REVA,SD,57651,S,N,27000,0.0,0,0
Guangye,Ragland, 256,127-1276,FLORENCE,AL,35632,S,Y,36000,5.0,1500,300
Mamede,Justin, 724,181-2009,BERWYN,PA,19312,S,Y,54000,3.07,0,0
Susana,Haselbock, 620,192-1459,NEKOMA,KS,67559,M,N,73000,6.45,0,0
Tatuo,Carballo, 631,144-1899,BROOKFIELD,NY,13314,M,Y,19000,4.0637197,0,1000
Praveen,Gibson, 228,173-1813,ITTA BENA,MS,38941,S,Y,79000,5.0,6000,1500
Cunsheng,Guckenheimer, 740,171-1200,SOUTH CHARLESTON,OH,45368,M,N,63500,2.6539001,0,0
Ives,Kaye, 505,157-1881,LOS ALAMOS,NM,87544,M,N,28500,5.3,0,0
Capers,Krolokowski, 860,180-1601,CROMWELL,CT,06416,S,N,71500,5.0,12750,0
Agnes,Haller, 740,134-2021,SOLON,OH,44139,M,Y,36000,1.7410411,0,1300
Takeo,Devai, 507,161-1950,GARY,MN,56545,M,N,88500,7.85,0,0
Jongmoo,Bokhari, 712,102-1915,SALIX,IA,51052,S,Y,7500,1.3219289,40,40
Emile,Guillier, 769,112-1348,POPE,MS,38658,M,Y,66500,5.0,0,1500
Sheryl,Riel, 337,162-1772,LAWTELL,LA,70550,S,Y,38500,6.0,4500,1000
Jaejin,Artelt, 828,148-1138,LINCOLNTON,NC,28093,M,Y,76500,7.337413,0,3300
Xiahua,Kainaga, 860,105-1660,NEW PRESTON MARBLE DALE,CT,06777,S,N,22500,5.0,12750,0
Roch,Stevenson, 907,122-1313,CIRCLE,AK,99733,M,Y,11500,0.0,0,0
Orlando,Laguitton, 270,121-1138,LEXINGTON,KY,40575,M,Y,76000,6.0,0,20
Hideya,Picht, 251,126-1828,MAPLESVILLE,AL,36750,M,N,3000,5.0,0,0
Jehoshua,Kabalevsky, 612,196-2065,KELLOGG,MN,55945,S,N,44500,6.6301494,3300,0
Afonso,Hemmerling, 843,190-1299,RICHBURG,SC,29729,M,N,93500,7.0,0,0
Sadaki,Poel, 401,198-1416,PROVIDENCE,RI,02907,S,Y,100000,0.0,0,0
Snehasis,MacLeod, 910,186-1043,WINSTON SALEM,NC,27199,M,N,97000,7.7674828,0,0
Peeter,Poehlman, 860,183-1736,DAYVILLE,CT,06241,S,Y,13500,5.0,12750,0
Tassadit,Nozawa, 760,181-1820,GALT,CA,95632,S,N,28000,6.1183887,87,0
Myunghwan,Wuthrich, 304,196-1480,HANDLEY,WV,25102,M,Y,19500,3.665,0,2000
Dikran,Picht, 417,161-1130,GRANDIN,MO,63943,M,Y,64500,6.0,0,1200
Aiichiro,Musin, 601,153-1407,GAUTIER,MS,39553,M,Y,77500,5.0,0,1500
Zhongyang,Bolsens, 336,131-1599,BRYSON CITY,NC,28713,S,N,61500,7.022727,3300,0
Nicholas,McKinnon, 505,183-1215,PREWITT,NM,87045,M,Y,94500,5.3,0,3300
Michinao,Grunberger, 205,152-1937,COLLINSVILLE,AL,35961,M,Y,97500,5.0,0,300
Dmitri,Ananiadou, 570,182-1071,AMBRIDGE,PA,15003,S,Y,74500,3.07,0,0
Romesh,Lafont, 985,198-1300,HAHNVILLE,LA,70057,M,Y,20000,4.4,0,1000
Daryl,Pavlova, 507,123-1907,DAYTON,MN,55327,S,N,58500,7.3772144,3300,0
Svein,Vanherpe, 901,104-1562,BETHPAGE,TN,37022,M,N,26500,0.0,0,0
Simant,Bhasker, 971,151-1150,PORTLAND,OR,97294,S,Y,21000,9.0,159,159
Nicolau,Blaschka, 276,125-1937,BUCHANAN,VA,24066,M,N,29500,5.75,0,0
Gyula,Gori, 561,185-2094,BROOKSVILLE,FL,34605,S,Y,61500,0.0,0,0
Aurora,Huijsmans, 541,131-1610,UKIAH,OR,97880,M,Y,78500,9.0,0,159
Fredeic,Fraysse, 920,165-1358,POTOSI,WI,53820,M,N,99500,6.17523,0,0
Dino,Wheeler, 605,133-1901,CAMP CROOK,SD,57724,M,Y,87500,0.0,0,0
Anssi,Weinand, 240,146-1212,WOODSTOCK,MD,21163,M,Y,98500,4.75,0,2400
Shao,Linnemann, 605,125-1355,MARVIN,SD,57251,M,N,19000,0.0,0,0
Meena,Marazakis, 414,142-1662,RIDGEWAY,WI,53582,S,Y,94500,6.0883546,700,400
Taesoon,Zhongzhi, 281,134-1576,TYLER,TX,75702,S,Y,80500,0.0,0,0
Alco,Sweeney, 787,150-1014,TOA ALTA,PR,00954,S,N,53500,0.0,0,0
Marshall,Tank, 716,157-1503,GREENFIELD CENTER,NY,12833,S,N,5500,4.0,0,0
Xiaoyang,Maloney, 651,102-1742,HARMONY,MN,55939,S,N,74500,7.85,3300,0
Ivandre,Olshen, 734,149-1093,MUSKEGON,MI,49445,M,Y,41000,3.9,0,3100
Bingchiang,Kartha, 646,170-1696,ALTON,NY,14413,S,Y,78500,4.4083843,0,1000
Vlad,Yanike, 417,131-1495,LYNCHBURG,MO,65543,S,N,83500,6.0,2100,0
Nael,Kugler, 939,194-1817,MAUNABO,PR,00707,M,Y,73500,0.0,0,0
Phipps,Devroye, 770,135-1911,JONESBORO,GA,30238,M,Y,27000,6.0,0,3000
Taoufik,Famili, 847,185-1639,WINDSOR,IL,61957,S,Y,84000,3.0,2000,2000
Daeshik,Leonetti, 605,133-2022,DANTE,SD,57329,M,N,76000,0.0,0,0
Sameer,Prabhakar, 308,191-1525,PENDER,NE,68047,M,N,22000,6.04083,0,0
Yali,Bakhtiari, 505,106-1675,ALBUQUERQUE,NM,87101,S,N,62000,5.3,3300,0
Romulus,Lindqvist, 801,175-1691,MEXICAN HAT,UT,84531,S,Y,95500,7.0,2475,2475
Anshuman,Rabagliati, 919,110-1816,WINSTON SALEM,NC,27111,S,Y,98500,7.798951,3300,3300
Shinsei,Feuerman, 319,107-1187,OLIN,IA,52320,M,N,61500,8.98,0,0
Yuping,Wroclawski, 503,108-1434,LOGSDEN,OR,97357,M,N,66000,9.0,0,0
Balasubramaniam,Yamaashi, 907,125-1401,TOGIAK,AK,99678,S,Y,91000,0.0,0,0
Kitty,Daya, 330,180-1128,MORROW,OH,45152,M,Y,96000,3.7327332,0,1300
Hongxing,Relihan, 239,199-1374,SAINT PETERSBURG,FL,33729,S,Y,35500,0.0,0,0
Mihaly,Kurfess, 775,145-1220,LAS VEGAS,NV,89105,M,N,13500,0.0,0,0
Coco,Tschudin, 401,140-1938,ROCKVILLE,RI,02873,M,Y,96000,0.0,0,0
Veronica,Keefer, 239,144-2026,CHRISTMAS,FL,32709,S,N,98000,0.0,0,0
Katsunobu,Daladier, 208,192-1615,PAYETTE,ID,83661,S,N,73500,7.8,3300,0
Gul,Farhi, 202,143-1558,WASHINGTON,DC,20557,S,Y,97000,9.0,1370,1370
Jianchen,Giles, 270,195-1949,MC CARR,KY,41544,S,Y,5000,2.1111112,20,20
Huiling,Seibert, 351,135-1920,WESTFIELD,MA,01085,S,Y,91000,5.3,3575,1000
Gang,Autexier, 843,143-1224,WINDSOR,SC,29856,S,Y,6500,4.2203307,3300,3300
Jine,Hjaresen, 718,177-1445,LAGRANGEVILLE,NY,12540,S,N,26000,4.104268,0,0
Johanna,Taff, 860,106-1866,EAST CANAAN,CT,06024,S,N,37500,5.0,12750,0
Snehamay,Guillier, 208,115-1521,HOWE,ID,83244,S,Y,20500,7.090326,3300,3300
Kieran,Turcotte, 206,199-1786,SEATTLE,WA,98124,S,N,10500,0.0,0,0
Oswald,Lichnewsky, 803,111-1328,TIGERVILLE,SC,29688,S,N,23500,7.0,3300,0
Edwin,Rozoy, 262,186-1125,EMBARRASS,WI,54933,M,N,56500,5.428099,0,0
Swarup,Prochazka, 815,137-1834,NAPERVILLE,IL,60566,S,N,19500,3.0,2000,0
Agneta,Puzin, 870,199-1959,ROE,AR,72134,M,Y,88500,7.0,0,20
Changwoo,Welten, 787,138-1270,CAROLINA,PR,00986,S,N,11000,0.0,0,0
Eginhard,Yaoi, 706,146-2006,STATENVILLE,GA,31648,M,Y,4500,4.0,0,3000
Sadayoshi,Bruscoli, 503,147-1596,WHEELER,OR,97147,S,Y,83000,9.0,159,159
Nong,Vilar, 646,178-1987,TIOGA CENTER,NY,13845,M,Y,84500,4.44314,0,1000
Akshay,Heijst, 509,102-1537,MAZAMA,WA,98833,M,N,67000,0.0,0,0
Emily,Panayiotopoulos, 704,174-1071,PATTERSON,NC,28661,M,Y,72500,7.253496,0,3300
Estelle,Verlind, 303,183-1696,BROOMFIELD,CO,80023,S,N,66500,4.63,0,0
Vesselin,Iscoe, 203,117-1187,THOMASTON,CT,06787,M,Y,90000,5.0,0,0
Ajith,Littlefield, 808,113-1212,HILO,HI,96720,S,Y,58000,8.25,1040,1040
Muli,Gikas, 619,116-1621,SACRAMENTO,CA,95827,M,N,61000,9.3,0,0
Michiro,Gien, 620,114-1625,SPEARVILLE,KS,67876,S,Y,90500,6.45,2250,2250
Xiping,Pileggi, 650,136-1675,PITTSBURG,CA,94565,M,Y,77000,9.3,0,272
Lonnie,Sarocky, 651,136-1955,CASS LAKE,MN,56633,M,Y,79000,7.85,0,3300
Xiaosong,Rebeuf, 763,173-1828,WARBA,MN,55793,M,N,84500,7.85,0,0
Joseba,Cosma, 605,179-1061,DELL RAPIDS,SD,57022,M,Y,47000,0.0,0,0
Josh,Diehr, 540,154-1696,RUCKERSVILLE,VA,22968,M,Y,80000,5.75,0,900
Dasu,Basermann, 601,142-1945,AMORY,MS,38821,S,N,83500,5.0,6000,0
Katarzyna,Borgelt, 252,109-1767,BROADWAY,NC,27505,M,Y,79500,7.4003496,0,3300
Branimir,Chubb, 804,115-1099,ARLINGTON,VA,22222,S,N,66000,5.75,900,0
Nobuki,Torasso, 585,192-1730,BRONX,NY,10473,S,Y,38000,4.1737804,0,1000
Eneia,Peral, 302,184-1463,WILMINGTON,DE,19885,M,Y,80500,5.95,0,110
Shengchang,Strehl, 609,131-2058,SOUTH DENNIS,NJ,08245,S,Y,1500,1.4,1000,1500
Rogelio,Creusere, 302,119-1284,MAGNOLIA,DE,19962,M,Y,2000,2.2,0,110
Naohiro,Fushchich, 623,130-1125,ROOSEVELT,AZ,85545,S,Y,74000,3.862,2100,2300
Soenke,Guenter, 302,111-1775,NEWARK,DE,19718,M,N,33500,4.143182,0,0
Chunho,Olivo, 615,162-1682,CENTERVILLE,TN,37033,M,Y,64500,0.0,0,0
Rabah,Estier, 906,114-1548,DAFTER,MI,49724,M,N,18000,3.9,0,0
Micheline,Kolmogorov, 814,179-1860,PITTSBURGH,PA,15281,M,N,33000,3.07,0,0
Bella,Manders, 216,154-1320,WAYNESFIELD,OH,45896,S,Y,81500,3.2514076,1300,1300
Avraham,Bartscht, 775,115-1090,THE LAKES,NV,89163,S,N,47500,0.0,0,0
Kunio,Ushio, 972,147-1952,ARLINGTON,TX,76016,S,N,8000,0.0,0,0
Rand,Bellatreche, 443,198-1298,ODENTON,MD,21113,M,N,94000,4.75,0,0
Kilnam,Rasche, 303,177-1446,DENVER,CO,80221,S,Y,83500,4.63,0,0
Haijo,Coe, 201,193-1172,TOMS RIVER,NJ,08756,M,N,26000,1.494625,0,0
Jega,Steffens, 727,117-1822,HIGH SPRINGS,FL,32643,S,N,18500,0.0,0,0
Edward,Dufourd, 417,137-1084,BALLWIN,MO,63022,S,N,84000,6.0,2100,0
Shunichiro,Lanneluc, 269,181-1028,GRAND RAPIDS,MI,49560,M,Y,48000,3.9,0,3100
Guylaine,Varwig, 425,105-2049,SPANGLE,WA,99031,S,N,94500,0.0,0,0
Ryotaro,Acton, 301,180-1370,BOWIE,MD,20718,M,Y,43500,4.75,0,2400
Kiyoshi,D'Auria, 907,129-1032,ANCHORAGE,AK,99510,S,N,1500,0.0,0,0
Achour,Harbison, 734,117-1431,PARADISE,MI,49768,S,Y,42500,3.9,3100,3100
Bernahrd,Barriga, 502,132-1655,BOSTON,KY,40107,M,Y,75000,6.0,0,20
Borje,Nadin, 570,158-1239,GETTYSBURG,PA,17326,M,Y,5500,3.07,0,0
Hyeongil,Howerton, 334,100-1339,PINCKARD,AL,36371,M,N,89000,5.0,0,0
Nizar,Zlotek, 706,111-1246,SCOTTDALE,GA,30079,M,Y,20500,6.0,0,3000
Hiroyuke,Klingspor, 939,195-1848,MERCEDITA,PR,00715,M,Y,4500,0.0,0,0
Roslyn,Krider, 402,193-1356,VENANGO,NE,69168,S,Y,10000,3.9097095,103,103
Walter,Kuninobu, 615,190-1361,NASHVILLE,TN,37236,S,N,82500,0.0,0,0
Pekka,Dorchak, 202,152-1276,WASHINGTON,DC,20250,M,N,16000,5.85,0,0
Nasir,Sydow, 425,186-1781,TENINO,WA,98589,M,Y,41500,0.0,0,0
Geetha,Scardovelli, 907,190-1718,ALEKNAGIK,AK,99555,S,N,90500,0.0,0,0
Cornelious,Mitusi, 870,110-1432,DANVILLE,AR,72833,M,Y,98500,7.0,0,20
Echard,Uhrig, 870,128-2056,FORREST CITY,AR,72336,M,N,23000,5.6853113,0,0
Xiangyu,Deemter, 402,120-1401,BIG SPRINGS,NE,69122,M,Y,38500,6.84,0,103
Rehmi,Dahl, 351,118-1104,UPTON,MA,01568,M,Y,76500,5.3,0,1000
Kothuri,Macskassy, 307,143-1951,BAGGS,WY,82321,M,Y,76000,0.0,0,0
Heesung,Bowhill, 410,132-1615,FREDERICK,MD,21702,M,N,20000,4.75,0,0
Keshav,Oberman, 202,121-1275,WASHINGTON,DC,20044,M,N,96500,9.0,0,0
Khatoun,Uresin, 907,102-1816,WARD COVE,AK,99928,M,N,3500,0.0,0,0
Maziar,Denis, 816,131-1789,BUNCETON,MO,65237,S,N,55000,6.0,2100,0
Wonchan,Barvinok, 805,125-1855,SAN FRANCISCO,CA,94155,S,N,86500,9.3,87,0
Diethelm,Sanella, 920,101-1987,BUTLER,WI,53007,M,N,39500,5.132722,0,0
Art,Baar, 701,132-1628,RHAME,ND,58651,S,Y,78000,2.6599054,3300,3300
Ellis,Jantke, 702,189-1964,WEST WENDOVER,NV,89883,S,Y,30000,0.0,0,0
Bong,Beraha, 662,118-2008,KOKOMO,MS,39643,M,Y,32000,5.0,0,1500
Paulien,Cappelli, 985,107-1079,MANDEVILLE,LA,70471,M,N,24500,5.84,0,0
Charlie,Speckmann, 347,157-1356,FLORAL PARK,NY,11002,M,N,17000,4.052134,0,0
Joaquin,Craddock, 307,122-1224,LEITER,WY,82837,S,N,73000,0.0,0,0
Dingchao,Reggia, 351,187-1072,WORCESTER,MA,01604,S,Y,49000,5.3,3575,1000
Behrokh,Alves, 630,190-1331,DARIEN,IL,60561,S,N,27000,3.0,2000,0
Agnieszka,Cherfaoui, 808,144-1370,HONOLULU,HI,96849,S,Y,1000,1.4,1040,1040
Vidar,Kalashnikov, 216,158-1336,MALTA,OH,43758,M,Y,97000,3.7659283,0,1300
Vineeth,Balazs, 402,160-1705,TEKAMAH,NE,68061,M,Y,69500,6.84,0,103
Kenyon,Strasser, 334,149-1558,MAYLENE,AL,35114,S,N,18500,5.0,1500,0
Jerrell,Morschel, 952,121-1804,LAKE PARK,MN,56554,M,Y,81000,7.85,0,3300
Shahrokh,Wicinski, 843,158-1886,GRAMLING,SC,29348,S,Y,91500,7.0,3300,3300
Kerstin,Moffat, 620,129-1330,COOLIDGE,KS,67836,S,Y,70500,6.45,2250,2250
Hirozumi,Naccache, 916,119-1226,BURBANK,CA,91508,S,Y,74000,9.3,87,272
Susuma,Leder, 207,181-1701,SOUTH FREEPORT,ME,04078,S,Y,31000,8.5,2850,2850
Avi,Theimer, 505,122-1418,LUNA,NM,87824,M,N,81000,5.3,0,0
Eliane,Mikelsons, 939,123-1047,SABANA HOYOS,PR,00688,S,N,26000,0.0,0,0
Kiyokazu,Shelburne, 707,120-1614,DUNSMUIR,CA,96025,M,N,99000,9.3,0,0
Yuejiang,Margenstern, 612,199-1896,FRAZEE,MN,56544,M,Y,95500,7.85,0,3300
Vineet,Cardazo, 228,172-1814,MACON,MS,39341,S,Y,48000,5.0,6000,1500
Iasson,Boy, 954,153-1202,FORT LAUDERDALE,FL,33331,S,Y,89000,0.0,0,0
Yaniv,Saoudi, 901,159-1419,DANDRIDGE,TN,37725,S,Y,21000,0.0,0,0
Yuanhui,Besl, 253,124-1450,EPHRATA,WA,98823,S,Y,68000,0.0,0,0
Elliott,Arentze, 907,118-1632,BETHEL,AK,99559,S,N,64000,0.0,0,0
Anatole,Mamelak, 985,196-1912,COUSHATTA,LA,71019,M,N,83000,6.0,0,0
Sherri,Akaboshi, 719,170-1504,LITTLETON,CO,80130,S,Y,2500,4.63,0,0
Michaelis,Ateniese, 229,117-1354,ROCK SPRING,GA,30739,M,N,74500,6.0,0,0
Shuang,Pyreddy, 860,107-1451,STAMFORD,CT,06910,M,Y,65000,5.0,0,0
Nathan,Miles, 808,107-1963,HONOLULU,HI,96817,M,N,100000,8.25,0,0
Peyyun,Mitzner, 309,109-1569,ATHENS,IL,62613,S,Y,2000,3.0,2000,2000
Nand,Felici, 757,197-1853,ROSE HILL,VA,24281,S,N,73000,5.75,900,0
Guangye,Halverson, 502,117-1924,SLEMP,KY,41763,S,N,11000,2.4444444,20,0
Giuseppe,Fortune, 360,178-1814,LOPEZ ISLAND,WA,98261,M,Y,91500,0.0,0,0
Klichiro,Dostal, 251,177-1181,GOODSPRINGS,AL,35560,S,Y,54500,5.0,1500,300
